time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-1.1816006588045838e-06,7.698360201457828e-07,10.004354386447442,0.0005686659808841199,0.0007922241175331024,0.0,-9.137252759305222e-05,6.167148276537931e-05,0.14513806078856892,0.023737919455361828,0.03139663035662598,0.0,449.07229948838614,451.6113599984224,450.68619002428807,452.6003183950674
0.12000000000000001,-3.5734325810280373e-05,2.595217910912932e-05,10.02080589607348,0.002256750503689453,0.002757738416239164,0.0,-0.0013018762627020264,0.0009743724362166234,0.4031892896321161,0.03572898249816785,0.035351596841732114,0.0,484.72906188836816,485.02644249859026,483.6811602252627,484.5833643187495
0.18,-0.0001959501188272457,0.0001533624543124257,10.053363853792881,0.0041513026049804225,0.004981043325436474,0.0,-0.004317596955977014,0.003533855815724137,0.6819497254741964,0.021610124189143917,0.040260487370003054,0.0,490.02138628424683,490.38660305610097,491.44712924794135,490.3999146102412
0.23999999999999996,-0.0005502387512721447,0.00044254773261859703,10.094179516406243,0.005523270139796033,0.007135831673690696,0.0,-0.007691766486906055,0.0062214356830658235,0.6785727004184505,0.025266437290411455,0.02537397527929737,0.0,403.76996391232876,402.42560148519505,403.26117664024133,403.5913695686766
0.3,-0.0011749026427485994,0.0009430498968319948,10.139161464933066,0.006689911379516467,0.009074056652404572,0.0,-0.013319935702547797,0.010610680958051717,0.8207314355929745,0.004048480613456213,0.043440924820994646,0.0,449.06670333013255,450.53000353971686,452.2190401507413,450.5068777558081
0.36000000000000004,-0.0021850255626643215,0.0017285671471231443,10.192827588293031,0.007097956910055991,0.011470154715052416,0.0,-0.020623640450980894,0.015608457171309313,0.9680227858628836,0.011804229471165634,0.03179479782569689,0.0,452.6483053635625,451.71101142559087,452.257086081088,452.88115223958545
0.4200000000000001,-0.003744838872931312,0.002862305539587949,10.260526569709148,0.007393797194045426,0.013191504989247704,0.0,-0.031611966781870254,0.022256017269638897,1.2883017301716388,-0.014648821533127724,0.02161545741457399,0.0,503.85773110899834,503.1214874332241,503.3366105164244,501.4187416254604
0.48000000000000015,-0.005916778734020255,0.004345791470800339,10.340659541588106,0.006188466296024764,0.014383970527235057,0.0,-0.04091077252448286,0.027090448188004556,1.3826864712581153,-0.03413040634752622,0.016143118831013343,0.0,437.1354645681327,436.67923569101805,437.5086149537519,435.8836955394532
0.5400000000000001,-0.00865584835127373,0.006084563630281001,10.425458180218474,0.0042627151355913995,0.015770256024135065,0.0,-0.05050647863927615,0.030677163648400334,1.443858467992667,-0.028309835723134457,0.03428422882733551,0.0,424.8703235004733,426.42276740326025,426.8060968085845,427.3020998495644
0.6000000000000002,-0.011972903425411748,0.007995279574667861,10.512181719356741,0.002609363334124204,0.01761441915010753,0.0,-0.060234032284580886,0.032866423645631394,1.4469197663865008,-0.02608924567419173,0.02247997328627812,0.0,407.76042719711364,406.70503681370127,406.95118086770464,407.14961769685806
0.6600000000000003,-0.016031277788406267,0.010025553273886368,10.606210722723507,0.0014855497195780387,0.018653363717405114,0.0,-0.0751894122033504,0.03464725100373312,1.6870548150269211,-0.007037819594321791,0.004204635067143556,0.0,481.88116743891277,480.497743022471,480.8079924847557,482.2491005534718
0.7200000000000003,-0.021003122130624823,0.012138975071073956,10.71436481307398,0.0010872835815254334,0.019294261221934228,0.0,-0.09058931762391306,0.03574985630294299,1.9177223205655616,-0.005849406613370372,0.021222357905817082,0.0,478.6509006329445,479.9440391178764,479.2522548550435,479.3426775649569
0.7800000000000004,-0.026807595516950087,0.01430332134934065,10.830642466302745,0.0008658858605175013,0.020925734345257574,0.0,-0.10302924629904958,0.036368559383107874,1.9581277320870967,0.0003127224994017566,0.03704190482326903,0.0,420.48217142450534,421.85054747800535,421.1289886127416,421.6617026956455
0.8400000000000004,-0.03349341364291128,0.016505826102151462,10.9540658335287,0.0005679242730805001,0.023472741161732813,0.0,-0.1201036668487554,0.037035121720344046,2.1556264247491335,-0.01846125276695319,0.051517636250248064,0.0,469.804608486201,470.92644349432544,471.3209915556091,469.8679421674813
0.9000000000000005,-0.04122501008210686,0.018735770844057236,11.087562609447199,6.282609115737397,0.02696108741595893,0.0,-0.13796680589674354,0.03717505033076772,2.2939887579356313,-0.020311721644431433,0.06886845856057036,0.0,452.99619290338666,454.391424579518,453.20550702085507,453.05681079368634
0.9600000000000005,-0.0501970141478575,0.0209462465521699,11.232543820642764,6.280966549553948,0.03056784699892834,0.0,-0.16157863052880922,0.03633923009713813,2.5381930342273242,-0.04779736617411024,0.030061697401121586,0.0,487.3254957307092,484.4181493974578,485.962816114214,483.89801563716736
1.0200000000000005,-0.06058338379707644,0.023065095139112254,11.389526525888732,6.278117257124357,0.03277432009956627,0.0,-0.18484703609384917,0.03397477903500369,2.6941995718913074,-0.04687714741442936,0.04762658053685011,0.0,459.2261755172251,460.6178685991047,461.0139990143859,461.08542915927467
1.0800000000000005,-0.07238872873726751,0.024984151915234787,11.554901451226952,6.27546199687472,0.03675339028607372,0.0,-0.20903070575020088,0.029707511877107344,2.817983955613024,-0.03946770848037261,0.08925009263720055,0.0,449.8279656332669,453.18881003610676,451.0003369844657,451.59729135682363
1.1400000000000006,-0.08562777601931847,0.02661594383581219,11.724772971753298,6.272678612670198,0.04207596353410903,0.0,-0.232754927859771,0.024457016909187022,2.844310626331362,-0.06616906020038618,0.08760674095297469,0.0,420.7330822625656,420.5978161365629,422.3487056770658,420.03779266356986
